t_n,x_n,y_n,z_n,dx_n,dy_n,dz_n
0.025133, 1.02014726, -0.00246652, 0.00078637, -0.01266298, -0.00555423, 0.00091870
0.037699, 1.01998714, -0.00253372, 0.00079767, -0.01282187, -0.00514032, 0.00087908
0.050265, 1.01982498, -0.00259567, 0.00080846, -0.01298722, -0.00471768, 0.00083820
0.062832, 1.01966071, -0.00265225, 0.00081873, -0.01315935, -0.00428613, 0.00079605
0.075398, 1.01949422, -0.00270335, 0.00082846, -0.01333857, -0.00384548, 0.00075258
0.087965, 1.01932544, -0.00274886, 0.00083764, -0.01352528, -0.00339555, 0.00070778
0.100531, 1.01915426, -0.00278865, 0.00084624, -0.01371988, -0.00293613, 0.00066161
0.113097, 1.01898059, -0.00282261, 0.00085426, -0.01392284, -0.00246704, 0.00061403
0.125664, 1.01880431, -0.00285062, 0.00086167, -0.01413466, -0.00198805, 0.00056502
0.138230, 1.01862530, -0.00287254, 0.00086845, -0.01435593, -0.00149894, 0.00051452
0.150796, 1.01844346, -0.00288825, 0.00087459, -0.01458724, -0.00099950, 0.00046250
0.163363, 1.01825864, -0.00289761, 0.00088007, -0.01482931, -0.00048948, 0.00040890
0.175929, 1.01807071, -0.00290050, 0.00088486, -0.01508288, 0.00003136, 0.00035369
0.188496, 1.01787952, -0.00289678, 0.00088895, -0.01534880, 0.00056328, 0.00029679
0.201062, 1.01768490, -0.00288630, 0.00089232, -0.01562800, 0.00110655, 0.00023816
0.213628, 1.01748668, -0.00286892, 0.00089493, -0.01592150, 0.00166145, 0.00017772
0.226195, 1.01728468, -0.00284449, 0.00089677, -0.01623045, 0.00222826, 0.00011541
0.238761, 1.01707870, -0.00281286, 0.00089782, -0.01655609, 0.00280729, 0.00005115
0.251327, 1.01686851, -0.00277388, 0.00089805, -0.01689983, 0.00339885, -0.00001516
0.263894, 1.01665388, -0.00272739, 0.00089743, -0.01726322, 0.00400326, -0.00008360
0.276460, 1.01643455, -0.00267322, 0.00089594, -0.01764797, 0.00462086, -0.00015428
0.289027, 1.01621024, -0.00261120, 0.00089355, -0.01805601, 0.00525197, -0.00022732
0.301593, 1.01598064, -0.00254116, 0.00089022, -0.01848948, 0.00589694, -0.00030284
0.314159, 1.01574543, -0.00246293, 0.00088592, -0.01895077, 0.00655611, -0.00038099
0.326726, 1.01550423, -0.00237633, 0.00088063, -0.01944259, 0.00722981, -0.00046192
0.339292, 1.01525664, -0.00228116, 0.00087430, -0.01996795, 0.00791837, -0.00054581
0.351858, 1.01500223, -0.00217725, 0.00086690, -0.02053028, 0.00862210, -0.00063286
0.364425, 1.01474049, -0.00206440, 0.00085838, -0.02113342, 0.00934124, -0.00072328
0.376991, 1.01447090, -0.00194242, 0.00084871, -0.02178178, 0.01007602, -0.00081734
0.389557, 1.01419284, -0.00181110, 0.00083782, -0.02248035, 0.01082658, -0.00091531
0.402124, 1.01390567, -0.00167025, 0.00082568, -0.02323488, 0.01159293, -0.00101751
0.414690, 1.01360863, -0.00151967, 0.00081223, -0.02405195, 0.01237494, -0.00112430
0.427257, 1.01330088, -0.00135917, 0.00079741, -0.02493920, 0.01317228, -0.00123611
0.439823, 1.01298150, -0.00118855, 0.00078114, -0.02590550, 0.01398432, -0.00135341
0.452389, 1.01264943, -0.00100765, 0.00076337, -0.02696122, 0.01481001, -0.00147677
0.464956, 1.01230347, -0.00081629, 0.00074400, -0.02811857, 0.01564776, -0.00160682
0.477522, 1.01194225, -0.00061434, 0.00072295, -0.02939203, 0.01649519, -0.00174432
0.490088, 1.01156421, -0.00040169, 0.00070012, -0.03079892, 0.01734886, -0.00189017
0.502655, 1.01116754, -0.00017831, 0.00067541, -0.03236009, 0.01820378, -0.00204541
0.515221, 1.01075016, 0.00005580, 0.00064867, -0.03410090, 0.01905280, -0.00221131
0.527788, 1.01030961, 0.00030048, 0.00061978, -0.03605256, 0.01988567, -0.00238938
0.540354, 1.00984302, 0.00055545, 0.00058856, -0.03825382, 0.02068752, -0.00258147
0.552920, 1.00934694, 0.00082019, 0.00055483, -0.04075346, 0.02143669, -0.00278982
0.565487, 1.00881726, 0.00109386, 0.00051837, -0.04361372, 0.02210109, -0.00301721
0.578053, 1.00824896, 0.00137510, 0.00047891, -0.04691509, 0.02263241, -0.00326707
0.590619, 1.00763587, 0.00166181, 0.00043614, -0.05076332, 0.02295617, -0.00354367
0.603186, 1.00697027, 0.00195070, 0.00038971, -0.05529932, 0.02295428, -0.00385228
0.615752, 1.00624238, 0.00223656, 0.00033917, -0.06071299, 0.02243301, -0.00419919
0.628319, 1.00543965, 0.00251097, 0.00028398, -0.06726070, 0.02106101, -0.00459132
0.640885, 1.00454578, 0.00275989, 0.00022356, -0.07527891, 0.01824286, -0.00503396
0.653451, 1.00353988, 0.00295882, 0.00015727, -0.08515424, 0.01284787, -0.00552267
0.666018, 1.00239694, 0.00306285, 0.00008473, -0.09706477, 0.00261835, -0.00601397
0.678584, 1.00109666, 0.00298603, 0.00000683, -0.10967955, -0.01693588, -0.00632181
0.691150, 0.99966798, 0.00256968, -0.00007088, -0.11514201, -0.05235270, -0.00582005
0.702510, 0.99843400, 0.00173756, -0.00012691, -0.09713090, -0.09381174, -0.00374748
