bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
5,2,27.1,114.3,63.6
4,2,10.1,151.8,41.7
4,2,-25.9,143.3,52.4
4,2,30.2,-58.4,56.9
3,2,-13.6,-48.9,24.6
5,2,-39.5,-114.4,68.3
5,2,18.1,22.3,79.5
5,2,34.6,35.9,87.4
3,2,2.0,-47.6,29.7
3,2,9.6,-57.0,36.9
3,2,3.8,-41.2,30.9
5,2,41.0,69.6,82.7
5,2,39.2,75.0,79.9
5,2,36.5,82.2,76.1
5,2,32.2,95.1,69.9
4,2,23.5,121.6,57.3
4,2,-0.1,-120.9,58.0
3,2,-5.5,-42.0,34.2
4,2,-8.4,-88.9,42.0
5,2,32.2,24.9,87.6
4,2,15.4,-77.3,40.2
4,2,20.3,-85.9,44.2
4,2,21.3,-86.1,44.1
4,2,20.1,-79.7,41.7
3,2,16.1,-64.7,36.8
5,2,38.5,63.2,80.5
5,2,36.8,67.1,78.2
5,2,34.4,74.7,74.7
5,2,30.6,91.5,67.7
4,2,20.5,129.8,51.2
3,2,-17.5,166.3,35.3
4,2,-8.3,-117.8,54.0
3,2,11.5,-72.9,33.4
4,2,20.2,-95.0,42.1
4,2,22.3,-102.6,44.0
4,2,22.3,-103.4,43.5
4,2,21.4,-99.0,41.3
3,2,19.8,-89.3,37.8
3,2,17.0,-71.8,32.8
5,2,35.3,55.3,79.0
5,2,34.2,58.7,77.3
5,2,32.5,67.2,73.9
5,2,29.4,88.0,66.1
4,2,18.4,138.6,45.8
3,2,-0.4,-43.9,26.5
5,2,-11.8,-138.3,60.4
3,2,6.0,-57.1,25.1
3,2,19.0,-98.7,38.5
4,2,20.4,-110.4,41.4
4,2,19.8,-113.9,41.6
4,2,18.8,-112.2,40.2
3,2,17.8,-106.1,37.5
3,2,16.9,-95.2,33.6
3,2,15.7,-77.1,28.3
5,2,32.3,49.0,77.7
5,2,31.9,52.4,76.4
5,2,31.0,61.8,73.2
5,2,28.5,85.5,64.7
4,2,17.9,145.1,42.3
4,2,16.5,-48.9,43.8
3,2,-12.3,-23.0,34.1
3,2,6.7,-57.3,36.2
4,2,-16.7,-145.0,59.0
3,2,16.8,-92.3,33.1
3,2,18.0,-110.9,37.4
3,2,16.7,-117.7,38.9
3,2,15.1,-118.4,38.6
3,2,13.9,-114.7,36.9
3,2,13.3,-107.0,33.8
3,2,13.3,-94.8,29.2
3,2,13.6,-74.7,23.1
5,2,29.5,46.4,75.8
5,2,29.8,51.2,74.4
5,2,29.3,63.6,70.4
4,2,26.9,93.4,59.8
3,2,10.0,-178.6,29.3
5,2,-28.2,-103.2,65.1
4,2,13.8,-72.4,46.2
3,2,11.6,-61.5,24.8
3,2,16.5,-104.3,32.5
3,2,14.3,-115.7,35.3
3,2,12.0,-118.6,36.3
3,2,10.3,-116.4,35.5
3,2,9.6,-110.0,33.1
3,2,9.9,-99.4,28.9
3,2,11.4,-82.5,22.5
5,2,26.3,45.8,73.5
5,2,27.4,50.8,72.2
5,2,27.6,62.6,68.5
4,2,26.4,89.8,59.1
3,2,17.4,162.9,35.9
4,2,-21.8,-42.3,43.7
4,2,17.4,-65.1,47.5
3,2,16.3,-82.9,26.2
3,2,14.2,-106.7,30.5
3,2,10.8,-113.6,32.9
3,2,8.4,-113.4,33.4
3,2,7.3,-108.4,31.9
3,2,7.7,-99.1,28.3
3,2,9.8,-83.9,22.1
2,2,13.7,-52.1,13.4
5,2,24.5,53.8,69.0
5,2,25.3,66.4,65.0
4,2,25.1,93.6,55.8
3,2,18.8,167.1,35.3
4,2,20.6,-60.1,49.9
