bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,3,16.9,-60.1,52.5
4,3,-17.3,-54.7,51.3
3,3,3.7,-62.1,38.8
4,3,12.6,-106.8,49.1
3,3,-7.3,-40.6,39.9
3,3,0.4,-62.1,36.1
3,3,-16.1,-76.2,35.4
3,3,-9.6,-70.0,32.6
5,3,-35.8,-74.9,63.0
5,3,-40.7,126.2,65.4
5,3,-26.8,124.7,68.8
4,3,-14.0,110.9,54.2
4,3,-21.0,-67.1,60.0
5,3,-13.9,79.6,60.0
4,3,-7.8,-41.6,43.6
3,3,-8.1,112.3,39.9
4,3,3.8,108.6,47.0
3,3,0.9,132.9,38.1
5,3,-26.0,-89.7,65.4
4,3,-37.2,-76.5,59.2
3,3,21.7,-72.1,37.9
4,3,-16.1,84.4,50.5
5,3,3.3,53.8,64.0
5,3,17.5,58.0,70.2
5,3,24.1,70.3,71.6
5,3,24.0,90.2,66.8
4,3,13.1,127.4,49.6
5,3,-51.8,60.4,88.4
5,3,-25.8,-83.9,60.9
5,3,-25.8,36.6,66.5
5,3,-0.9,30.3,66.7
5,3,19.4,36.4,75.4
5,3,28.8,44.7,79.9
5,3,32.3,53.7,80.5
5,3,32.5,66.7,77.8
5,3,28.6,92.1,69.3
3,3,7.2,151.4,39.1
4,3,-8.8,-107.9,51.1
4,3,6.3,-99.6,47.7
3,3,-17.1,-65.4,33.0
4,3,-27.6,88.2,55.4
5,3,-40.7,-134.2,88.5
5,3,-7.3,27.0,60.6
5,3,20.4,28.1,75.9
5,3,31.4,34.3,82.6
5,3,35.4,39.5,84.5
5,3,36.1,44.0,84.1
5,3,35.6,51.0,82.5
5,3,34.3,67.7,78.0
5,3,26.5,109.0,63.1
4,3,-23.2,-113.3,54.3
5,3,-40.4,55.4,73.8
4,3,-9.1,33.5,52.8
5,3,24.2,26.1,76.8
5,3,34.9,30.7,84.5
5,3,38.4,34.3,86.3
5,3,38.6,36.4,86.0
5,3,37.4,38.3,84.9
5,3,36.3,43.5,83.4
5,3,35.8,62.0,79.4
5,3,27.2,113.3,61.9
5,3,-31.6,-131.2,71.9
4,3,-14.2,-67.6,48.4
